Currently created cars: 

CarID0: ToxicCar: total weight 12311kg, cargo loaded 0.0kg|
CarID1: GasCar: total weight 10762kg, cargo loaded 0.0kg|
CarID2: LiquidToxicCar: total weight 13864kg, cargo loaded 0.0kg|
CarID3: GasCar: total weight 11864kg, cargo loaded 0.0kg|
CarID4: ExplosivesCar: total weight 11480kg, cargo loaded 0.0kg|
CarID5: LiquidToxicCar: total weight 6489kg, cargo loaded 0.0kg|
CarID6: PostOfficeCar: total weight 18983kg, cargo loaded 0.0kg|
CarID7: PassengerCar: total weight 15110kg, cargo loaded 0.0kg|
CarID8: ToxicCar: total weight 12286kg, cargo loaded 0.0kg|
CarID9: RefrigeratedCar: total weight 11351kg, cargo loaded 0.0kg|
CarID10: GasCar: total weight 7065kg, cargo loaded 0.0kg|
CarID11: GasCar: total weight 9980kg, cargo loaded 0.0kg|
CarID12: ToxicCar: total weight 9999kg, cargo loaded 0.0kg|
CarID13: PostOfficeCar: total weight 23549kg, cargo loaded 0.0kg|
CarID14: BaggageCar: total weight 7892kg, cargo loaded 0.0kg|
CarID15: BaggageCar: total weight 21665kg, cargo loaded 0.0kg|
CarID16: PostOfficeCar: total weight 17342kg, cargo loaded 0.0kg|
CarID17: RestaurantCar: total weight 12989kg, cargo loaded 0.0kg|
CarID18: LiquidToxicCar: total weight 8789kg, cargo loaded 1500.0kg|
CarID19: LiquidCar: total weight 12992kg, cargo loaded 0.0kg|
CarID20: ToxicCar: total weight 10622kg, cargo loaded 0.0kg|
CarID21: LiquidCar: total weight 14881kg, cargo loaded 0.0kg|
CarID22: RestaurantCar: total weight 11185kg, cargo loaded 0.0kg|
CarID23: PassengerCar: total weight 25322kg, cargo loaded 0.0kg|
CarID24: LiquidToxicCar: total weight 6926kg, cargo loaded 0.0kg|
CarID25: RefrigeratedCar: total weight 8139kg, cargo loaded 0.0kg|
CarID26: RefrigeratedCar: total weight 5886kg, cargo loaded 0.0kg|
CarID27: RefrigeratedCar: total weight 10797kg, cargo loaded 0.0kg|
CarID28: BaggageCar: total weight 16281kg, cargo loaded 0.0kg|
CarID29: PostOfficeCar: total weight 24206kg, cargo loaded 0.0kg|
CarID30: ToxicCar: total weight 9346kg, cargo loaded 0.0kg|
CarID31: ExplosivesCar: total weight 7801kg, cargo loaded 0.0kg|
CarID32: BaggageCar: total weight 16616kg, cargo loaded 0.0kg|
CarID33: RestaurantCar: total weight 5067kg, cargo loaded 0.0kg|
CarID34: RefrigeratedCar: total weight 7956kg, cargo loaded 0.0kg|
CarID35: GasCar: total weight 13741kg, cargo loaded 0.0kg|
CarID36: GasCar: total weight 7401kg, cargo loaded 0.0kg|
CarID37: LiquidCar: total weight 10863kg, cargo loaded 0.0kg|
CarID38: LiquidToxicCar: total weight 7542kg, cargo loaded 0.0kg|
CarID39: PassengerCar: total weight 14108kg, cargo loaded 0.0kg|
CarID40: ExplosivesCar: total weight 13741kg, cargo loaded 0.0kg|
CarID41: ToxicCar: total weight 11648kg, cargo loaded 0.0kg|
CarID42: GasCar: total weight 11103kg, cargo loaded 0.0kg|
CarID43: RestaurantCar: total weight 11528kg, cargo loaded 0.0kg|
CarID44: PostOfficeCar: total weight 11058kg, cargo loaded 0.0kg|
CarID45: LiquidCar: total weight 7622kg, cargo loaded 0.0kg|
CarID46: RestaurantCar: total weight 9377kg, cargo loaded 0.0kg|
CarID47: ToxicCar: total weight 12397kg, cargo loaded 0.0kg|
CarID48: ExplosivesCar: total weight 12492kg, cargo loaded 0.0kg|
CarID49: RestaurantCar: total weight 12980kg, cargo loaded 0.0kg|
CarID50: RefrigeratedCar: total weight 14850kg, cargo loaded 0.0kg|
CarID51: LiquidCar: total weight 6237kg, cargo loaded 0.0kg|
CarID52: RefrigeratedCar: total weight 6592kg, cargo loaded 0.0kg|
CarID53: PostOfficeCar: total weight 10156kg, cargo loaded 0.0kg|
CarID54: RestaurantCar: total weight 8222kg, cargo loaded 0.0kg|
CarID55: ToxicCar: total weight 7201kg, cargo loaded 0.0kg|
CarID56: LiquidCar: total weight 5604kg, cargo loaded 0.0kg|
CarID57: LiquidToxicCar: total weight 5223kg, cargo loaded 0.0kg|
CarID58: LiquidToxicCar: total weight 5712kg, cargo loaded 0.0kg|
CarID59: RefrigeratedCar: total weight 9075kg, cargo loaded 0.0kg|
CarID60: ExplosivesCar: total weight 12178kg, cargo loaded 0.0kg|
CarID61: PassengerCar: total weight 16931kg, cargo loaded 0.0kg|
CarID62: GasCar: total weight 11335kg, cargo loaded 0.0kg|
CarID63: LiquidToxicCar: total weight 7233kg, cargo loaded 0.0kg|
CarID64: PassengerCar: total weight 29206kg, cargo loaded 0.0kg|
CarID65: BaggageCar: total weight 8384kg, cargo loaded 0.0kg|
CarID66: LiquidCar: total weight 5629kg, cargo loaded 0.0kg|
CarID67: BaggageCar: total weight 13531kg, cargo loaded 0.0kg|
CarID68: ToxicCar: total weight 5864kg, cargo loaded 0.0kg|
CarID69: BaggageCar: total weight 7494kg, cargo loaded 0.0kg|
CarID70: RefrigeratedCar: total weight 10644kg, cargo loaded 0.0kg|
CarID71: RefrigeratedCar: total weight 8102kg, cargo loaded 0.0kg|
CarID72: RestaurantCar: total weight 5612kg, cargo loaded 0.0kg|
CarID73: RefrigeratedCar: total weight 9036kg, cargo loaded 0.0kg|
CarID74: BaggageCar: total weight 7840kg, cargo loaded 0.0kg|
CarID75: PostOfficeCar: total weight 19323kg, cargo loaded 0.0kg|
CarID76: ToxicCar: total weight 7592kg, cargo loaded 0.0kg|
CarID77: PassengerCar: total weight 22856kg, cargo loaded 0.0kg|
CarID78: BaggageCar: total weight 21830kg, cargo loaded 0.0kg|
CarID79: PostOfficeCar: total weight 12489kg, cargo loaded 0.0kg|
CarID80: LiquidToxicCar: total weight 5836kg, cargo loaded 0.0kg|
CarID81: LiquidToxicCar: total weight 9062kg, cargo loaded 0.0kg|
CarID82: PassengerCar: total weight 29128kg, cargo loaded 0.0kg|
CarID83: PostOfficeCar: total weight 18925kg, cargo loaded 0.0kg|
CarID84: GasCar: total weight 7094kg, cargo loaded 0.0kg|
CarID85: PassengerCar: total weight 23559kg, cargo loaded 0.0kg|
CarID86: PassengerCar: total weight 29505kg, cargo loaded 0.0kg|
CarID87: ExplosivesCar: total weight 8668kg, cargo loaded 0.0kg|
CarID88: LiquidToxicCar: total weight 6984kg, cargo loaded 0.0kg|
CarID89: LiquidCar: total weight 12107kg, cargo loaded 0.0kg|
CarID90: BaggageCar: total weight 20943kg, cargo loaded 0.0kg|
CarID91: LiquidCar: total weight 7759kg, cargo loaded 0.0kg|
CarID92: RefrigeratedCar: total weight 10861kg, cargo loaded 0.0kg|
CarID93: BaggageCar: total weight 16788kg, cargo loaded 0.0kg|
CarID94: PostOfficeCar: total weight 9064kg, cargo loaded 0.0kg|
CarID95: PassengerCar: total weight 24251kg, cargo loaded 0.0kg|
CarID96: RefrigeratedCar: total weight 12055kg, cargo loaded 0.0kg|
CarID97: RefrigeratedCar: total weight 9968kg, cargo loaded 500.0kg|
CarID98: RefrigeratedCar: total weight 8079kg, cargo loaded 0.0kg|
CarID99: ExplosivesCar: total weight 14450kg, cargo loaded 0.0kg|
CarID100: BaggageCar: total weight 16004kg, cargo loaded 0.0kg|
CarID101: RefrigeratedCar: total weight 13722kg, cargo loaded 0.0kg|
CarID102: ToxicCar: total weight 11450kg, cargo loaded 0.0kg|
CarID103: LiquidCar: total weight 8245kg, cargo loaded 0.0kg|
CarID104: ExplosivesCar: total weight 11769kg, cargo loaded 0.0kg|
CarID105: LiquidCar: total weight 12588kg, cargo loaded 0.0kg|
CarID106: GasCar: total weight 14890kg, cargo loaded 0.0kg|
CarID107: PassengerCar: total weight 17040kg, cargo loaded 0.0kg|
CarID108: PostOfficeCar: total weight 10005kg, cargo loaded 0.0kg|
CarID109: ExplosivesCar: total weight 6525kg, cargo loaded 0.0kg|
CarID110: LiquidToxicCar: total weight 12259kg, cargo loaded 0.0kg|
CarID111: ToxicCar: total weight 9681kg, cargo loaded 0.0kg|
CarID112: PostOfficeCar: total weight 15489kg, cargo loaded 0.0kg|
CarID113: ExplosivesCar: total weight 12909kg, cargo loaded 0.0kg|
CarID114: LiquidToxicCar: total weight 9055kg, cargo loaded 0.0kg|
CarID115: PassengerCar: total weight 17843kg, cargo loaded 0.0kg|
CarID116: LiquidToxicCar: total weight 13410kg, cargo loaded 0.0kg|
CarID117: PassengerCar: total weight 22698kg, cargo loaded 0.0kg|
CarID118: GasCar: total weight 13561kg, cargo loaded 0.0kg|
CarID119: ExplosivesCar: total weight 8653kg, cargo loaded 0.0kg|
CarID120: PostOfficeCar: total weight 10040kg, cargo loaded 0.0kg|
